id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
3511,Kongsvinger,Hydro,Reservoir,Store,Norway,42.7,,1975.0,1975.0,,60.202822,11.892736,,0.0,10.25,0.0,{nan},"{'JRC': {'JRC-N212'}, 'OPSD': {'OEU-3804'}}"
3512,Ljota,Hydro,Reservoir,Store,Norway,1.65,,2019.0,2019.0,,60.184534,5.729115,,0.0,153.1,0.0,{nan},"{'JRC': {'JRC-N1970'}, 'OPSD': {'OEU-3918'}}"
3513,Ljosaa,Hydro,Reservoir,Store,Norway,2.6,,2008.0,2008.0,,62.669795,8.374669,,0.0,373.0,0.0,{nan},"{'JRC': {'JRC-N1437'}, 'OPSD': {'OEU-3919'}}"
3514,Litlelva,Hydro,Reservoir,Store,Norway,1.36,,2009.0,2009.0,,64.86708,12.885046,,0.0,140.0,0.0,{nan},"{'JRC': {'JRC-N1475'}, 'OPSD': {'OEU-3916'}}"
3515,Litledalen,Hydro,Reservoir,Store,Norway,17.0,,1920.0,1920.0,,59.663476,6.065529,10.248235294117649,0.62,126.0,174.22000000000003,{nan},"{'JRC': {'JRC-N248'}, 'OPSD': {'OEU-3915'}}"
3516,Litleana,Hydro,Reservoir,Store,Norway,3.2,,2013.0,2013.0,,58.506117,7.034393,,0.0,67.0,0.0,{nan},"{'JRC': {'JRC-N1729'}, 'OPSD': {'OEU-3917'}}"
3517,Litjfossen,Hydro,Reservoir,Store,Norway,75.0,,1982.0,1982.0,,62.662417,10.139673,1388.0,150.0,285.0,104100.0,{nan},"{'JRC': {'JRC-N247'}, 'OPSD': {'OEU-3913'}}"
3518,Lislevatn,Hydro,Reservoir,Store,Norway,4.2,,2015.0,2015.0,,58.57946,7.967914,1686.4761904761904,30.4,92.2,7083.2,{nan},"{'JRC': {'JRC-N1754'}, 'OPSD': {'OEU-3912'}}"
3519,Lio,Hydro,Reservoir,Store,Norway,43.0,,1969.0,1969.0,,59.465161,7.932223,1499.46511627907,75.5,346.0,64477.00000000001,{nan},"{'JRC': {'JRC-N246'}, 'OPSD': {'OEU-3911'}}"
3520,Linvasselv,Hydro,Reservoir,Store,Norway,25.0,,1962.0,1962.0,,64.652493,13.786226,4943.232,490.4,106.69,123580.8,{nan},"{'JRC': {'JRC-N245'}, 'OPSD': {'OEU-3910'}}"
